Assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	Species	Genera	strain
GCF_000007785.1	PRJNA224116	SAMN02603978	NA	na	226185	1351	Enterococcus faecalis V583	strain=V583	NA	latest	Complete Genome	Major	Full	28/3/2003	ASM778v1	TIGR	GCA_000007785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/785/GCF_000007785.1_ASM778v1	NA	NA	faecalis	Enterococcus	V583
GCF_000147215.1	PRJNA224116	SAMN00189108	AEBD00000000.1	na	749501	1351	Enterococcus faecalis TX0102	strain=TX0102	NA	latest	Scaffold	Major	Full	24/9/2010	ASM14721v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000147215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/215/GCF_000147215.1_ASM14721v1	NA	NA	faecalis	Enterococcus	TX0102
GCF_000147255.1	PRJNA224116	SAMN00189115	AEBE00000000.1	na	749508	1351	Enterococcus faecalis TX0630	strain=TX0630	NA	latest	Scaffold	Major	Full	23/9/2010	ASM14725v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000147255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/255/GCF_000147255.1_ASM14725v1	NA	NA	faecalis	Enterococcus	TX0630
GCF_000147275.1	PRJNA224116	SAMN00189106	AEBF00000000.1	na	749499	1351	Enterococcus faecalis TX0031	strain=TX0031	NA	latest	Scaffold	Major	Full	23/9/2010	ASM14727v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000147275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/275/GCF_000147275.1_ASM14727v1	NA	NA	faecalis	Enterococcus	TX0031
GCF_000147295.1	PRJNA224116	SAMN00189131	AEBH00000000.1	na	749494	1351	Enterococcus faecalis TX4244	strain=TX4244	NA	latest	Scaffold	Major	Full	24/9/2010	ASM14729v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000147295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/295/GCF_000147295.1_ASM14729v1	NA	NA	faecalis	Enterococcus	TX4244
GCF_000147455.1	PRJNA224116	SAMN00189126	AEBI00000000.1	na	749516	1351	Enterococcus faecalis TX1346	strain=TX1346	NA	latest	Scaffold	Major	Full	23/9/2010	ASM14745v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000147455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/455/GCF_000147455.1_ASM14745v1	NA	NA	faecalis	Enterococcus	TX1346
GCF_000147475.1	PRJNA224116	SAMN00189125	AEBJ00000000.1	na	749515	1351	Enterococcus faecalis TX1342	strain=TX1342	NA	latest	Scaffold	Major	Full	24/9/2010	ASM14747v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000147475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/475/GCF_000147475.1_ASM14747v1	NA	NA	faecalis	Enterococcus	TX1342
GCF_000147495.1	PRJNA224116	SAMN00189123	AEBK00000000.1	na	749513	1351	Enterococcus faecalis TX1302	strain=TX1302	NA	latest	Scaffold	Major	Full	24/9/2010	ASM14749v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000147495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/495/GCF_000147495.1_ASM14749v1	NA	NA	faecalis	Enterococcus	TX1302
GCF_000147515.1	PRJNA224116	SAMN00189107	AEBL00000000.1	na	749500	1351	Enterococcus faecalis TX0043	strain=TX0043	NA	latest	Scaffold	Major	Full	23/9/2010	ASM14751v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000147515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/515/GCF_000147515.1_ASM14751v1	NA	NA	faecalis	Enterococcus	TX0043
GCF_000147535.1	PRJNA224116	SAMN00189105	AEBM00000000.1	na	749498	1351	Enterococcus faecalis TX0027	strain=TX0027	NA	latest	Scaffold	Major	Full	24/9/2010	ASM14753v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000147535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/535/GCF_000147535.1_ASM14753v1	NA	NA	faecalis	Enterococcus	TX0027
